"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,screening_demographics,,text,"Study ID",,,,,,,,,,,,,
mrn,screening_demographics,Demographics,text,"Medical Record Number (MRN)",,,,,,y,,,,,,,
dob,screening_demographics,,text,"Date of birth",,,date_mdy,,,y,,,,,,,
sex,screening_demographics,,radio,Sex,"1, Male | 2, Female | 3, Other/Intersex",,,,,,,,,,,,
race,screening_demographics,,checkbox,"Race (check all that apply)","1, White | 2, Black or African American | 3, Asian | 4, American Indian or Alaska Native | 5, Native Hawaiian or Other Pacific Islander | 6, Other | 7, Unknown/Not reported",,,,,,,,,,,,
ethnicity,screening_demographics,,radio,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino | 3, Unknown/Not reported",,,,,,,,,,,,
bmi,screening_demographics,,text,"BMI (kg/m^2)",,,number,10,80,,,,,,,,
smoking_history,screening_demographics,,radio,"Smoking history","1, Never smoker | 2, Former smoker | 3, Current smoker | 4, Unknown",,,,,,,,,,,,
pack_years,screening_demographics,,text,"Pack-years of smoking",,,number,0,,,"[smoking_history] = '2'",,,,,,
vital_status,screening_demographics,,radio,"Vital status","1, Alive | 2, Deceased | 3, Unknown",,,,,,,,,,,,
indication_pps,medication_information,"PPS Exposure History",checkbox,"Indication for PPS use","1, Interstitial cystitis | 2, Osteoarthritis | 3, Ankylosing spondylitis | 4, Other",,,,,,,,,,,,
indication_pps_other,medication_information,,text,"If other indication, specify",,,,,,,"[indication_pps(4)] = '1'",,,,,,
route_pps,medication_information,,radio,"Route of PPS administration","1, Oral | 2, Subcutaneous | 3, Both (switched route)",,,,,,,,,,,,
date_pps_start,medication_information,,text,"Date of PPS initiation",,,date_mdy,,,,,,,,,,
date_pps_stop,medication_information,,text,"Date of PPS discontinuation or last visit date if ongoing",,,date_mdy,,,,,,,,,,
pps_duration_years,medication_information,,calc,"Total duration of PPS use (years) ","round(if([pps_still_in_use]='1', datediff([date_pps_start],'today','y','mdy',true), datediff([date_pps_start],[date_pps_stop],'y','mdy',true)),1)",,,,,,,,,,,,
pps_dose_per_day,medication_information,,text,"Dose of PPS per day (mg/day)",,,,,,,,,,,,,
pps_cumulative_dose_g,medication_information,,calc,"Cumulative PPS dose [auto-calculated]","[pps_dose_per_day] * 365 * [pps_duration_years]","Auto-calculated ",,,,,,,,,,,
pps_discontinue_reason,medication_information,,text,"Reason for PPS discontinuation, if applicable",,,,,,,,,,,,,
other_retinotox_meds,medication_information,"Concomitant / Other Medications",checkbox,"Other medications associated with retinal toxicity (check all that apply)","1, Hydroxychloroquine/chloroquine | 2, Tamoxifen | 3, Deferoxamine | 4, Other retinotoxic agent | 5, None",,,,,,,,,,,,
medication_history,medication_information,,notes,"Other relevant medication history (free text)",,,,,,,,,,,,,
date_gi_bl,colonoscopy_genetic,,text,"Date (of index colonoscopy)",,,date_mdy,,,,,y,,,,,
gi_symptoms_bl,colonoscopy_genetic,,yesno,"GI symptoms present at time of colonoscopy? (No = routine/asymptomatic screening)",,,,,,,,,,,,,
gi_findings_macro_bl,colonoscopy_genetic,,checkbox,"Findings - Macroscopic (check all that apply)","1, Polyposis | 2, Inflammatory/colitic mucosal changes | 3, Normal | 4, Other",,,,,,,,,,,,
gi_findings_macro_bl_other,colonoscopy_genetic,,text,"If other macroscopic finding, specify",,,,,,,"[gi_findings_macro_bl(4)] = '1'",,,,,,
num_polyps_bl,colonoscopy_genetic,,text,"Number of colonic polyps identified",,,integer,0,,,,,,,,,
severe_polyposis_bl,colonoscopy_genetic,,yesno,"Severe polyposis (>=10 polyps)",,,,,,,,,,,,,
polyp_type_bl,colonoscopy_genetic,,checkbox,"Polyp type (check all that apply)","1, Tubular adenoma | 2, Tubulovillous adenoma | 3, Villous adenoma | 4, Sessile serrated lesion | 5, Hyperplastic polyp | 6, Other",,,,,,,,,,,,
polyp_type_bl_other,colonoscopy_genetic,,text,"If other polyp type, specify",,,,,,,"[polyp_type_bl(6)] = '1'",,,,,,
dysplasia_grade_bl,colonoscopy_genetic,,radio,"Dysplasia grade","0, None identified | 1, Low-grade dysplasia | 2, High-grade dysplasia",,,,,,,,,,,,
histopath_bl,colonoscopy_genetic,,notes,"Histopathology (free text summary of pathology report)",,,,,,,,,,,,,
gi_diagnosis_bl,colonoscopy_genetic,,checkbox,"GI Diagnosis, if any (check all that apply)","1, None | 2, Severe adenomatous polyposis | 3, Ulcerative colitis | 4, Crohn's disease | 5, Microscopic colitis | 6, Colorectal cancer | 7, Other",,,,,,,,,,,,
gi_diagnosis_bl_othr,colonoscopy_genetic,,text,"If other GI diagnosis, specify",,,,,,,"[gi_diagnosis_bl(7)] = '1'",,,,,,
gi_intervention_bl,colonoscopy_genetic,,checkbox,"GI surgical/endoscopic intervention (check all that apply)","1, Endoscopic mucosal resection/polypectomy | 2, Partial colectomy | 3, Total colectomy | 4, Ileostomy | 5, None | 6, Other",,,,,,,,,,,,
gi_intervention_bl_other,colonoscopy_genetic,,text,"If other GI procedure, specify",,,,,,,"[gi_intervention_bl(6)] = '1'",,,,,,
time_to_gi_dx_years,colonoscopy_genetic,,calc,"Time from PPS initiation to index GI diagnosis (years) [auto-calc]","datediff([date_pps_start],[date_gi_bl],'y','mdy',true,2)",,,,,,,,,,,,
famhx_polyp_crc,colonoscopy_genetic,"Family & Genetic History",yesno,"Family history of polyposis/colorectal cancer",,,,,,,,,,,,,
genetic_test_perf_bl,colonoscopy_genetic,,yesno,"Genetic testing for hereditary polyposis/CRC syndromes performed",,,,,,,,,,,,,
genetic_test_genes_bl,colonoscopy_genetic,,checkbox,"Gene(s) tested (if performed)","1, APC | 2, MUTYH | 3, MLH1 | 4, MSH2 | 5, MSH6 | 6, PMS2 | 7, Other",,,,,,"[genetic_test_perf_bl] = '1'",,,,,,
genetic_test_genes_bl_other,colonoscopy_genetic,,text,"If other gene, specify",,,,,,,"[genetic_test_genes_bl(7)] = '1'",,,,,,
date_genetic_test,colonoscopy_genetic,,text,Date,,,date_mdy,,,,"[genetic_test_perf_bl] = '1'",,,,,,
genetic_test_res_bl,colonoscopy_genetic,,radio,"Genetic testing result","1, Pathogenic/likely pathogenic variant identified | 2, Negative | 3, Variant of uncertain significance",,,,,,"[genetic_test_perf_bl] = '1'",,,,,,
genetic_test_notes,colonoscopy_genetic,,notes,Notes,,,,,,,,,,,,,
date_bl_ophtho,ophtho_index,"Ophthalmology Visit Closest to Index GI Visit/Colonoscopy",text,"Date ",,,date_mdy,,,,,y,,,,,
ocular_history,ophtho_index,,checkbox,"Ocular Surgical History — OD (check all that apply)","1, Phacoemulsification with IOL implantation | 2, Pars plana vitrectomy (PPV) | 3, ILM/ERM peeling | 4, Scleral buckling procedure | 5, Pneumatic retinopexy | 6, Panretinal photocoagulation (PRP) | 7, Focal/grid laser photocoagulation | 8, Photodynamic therapy (PDT) | 9, Selective laser trabeculoplasty (SLT) | 10, Trabeculectomy | 11, Glaucoma drainage device (GDD) implantation | 12, Cornea Transplant | 13, Other | 14, None",,,,,,,,,,,,
other_surgicalhx_od,ophtho_index,,text,"Other Surgical History OD",,,,,,,"[ocular_history(13)] = '1'",,,,,,
ocular_history_os,ophtho_index,,checkbox,"Ocular Surgical History — OS (check all that apply)","1, Phacoemulsification with IOL implantation | 2, Pars plana vitrectomy (PPV) | 3, ILM/ERM peeling | 4, Scleral buckling procedure | 5, Pneumatic retinopexy | 6, Panretinal photocoagulation (PRP) | 7, Focal/grid laser photocoagulation | 8, Photodynamic therapy (PDT) | 9, Selective laser trabeculoplasty (SLT) | 10, Trabeculectomy | 11, Glaucoma drainage device (GDD) implantation | 12, Cornea Transplant | 13, Other | 14, None",,,,,,,,,,,,
other_surgicalhx_os,ophtho_index,,text,"Other Surgical History OS",,,,,,,"[ocular_history_os(13)] = '1'",,,,,,
famhx_maculopathy,ophtho_index,,yesno,"Family history of inherited maculopathy/retinal dystrophy",,,,,,,,,,,,,
ocular_dx_od,ophtho_index,,checkbox,"Ocular Diagnosis - OD (check all that apply)","1, PPS maculopathy | 2, Cataract | 3, Glaucoma | 4, Epiretinal membrane | 5, Macular neovascularization | 6, Vitreomacular traction | 7, Age-related macular degeneration | 8, Retinal ischemia | 9, RPE mottling | 10, Vitreomacular adhesion | 11, Pattern dystrophy | 12, Other | 13, None",,,,,,,,,,,,
ocular_dx_od_other,ophtho_index,,text,"If other ocular diagnosis (OD), specify",,,,,,,"[ocular_dx_od(12)] = '1'",,,,,,
ocular_dx_os,ophtho_index,,checkbox,"Ocular Diagnosis - OS (check all that apply)","1, PPS maculopathy | 2, Cataract | 3, Glaucoma | 4, Epiretinal membrane | 5, Macular neovascularization | 6, Vitreomacular traction | 7, Age-related macular degeneration | 8, Retinal ischemia | 9, RPE mottling | 10, Vitreomacular adhesion | 11, Pattern dystrophy | 12, Other | 13, None",,,,,,,,,,,,
ocular_dx_os_other,ophtho_index,,text,"If other ocular diagnosis (OS), specify",,,,,,,"[ocular_dx_os(12)] = '1'",,,,,,
pps_stage_od,ophtho_index,,radio,"PPS maculopathy stage - OD (Wang et al. classification)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe)",,,,,,"[ocular_dx_od(1)] = '1'",,,,,,
pps_stage_os,ophtho_index,,radio,"PPS maculopathy stage - OS (Wang et al. classification)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe)",,,,,,"[ocular_dx_os(1)] = '1'",,,,,,
lens_status_od,ophtho_index,,dropdown,"Lens status OD","1, Pseudophakic | 2, Clear-phakic | 3, Trace cataract | 4, 1+ Cataract | 5, 2+ Cataract | 6, 3+ Cataract | 7, 4+ Cataract | 8, Aphakic | 9, White",,,,,,,,,,,,
bcva_snellen_od,ophtho_index,,dropdown,"BCVA - Snellen (OD)","1, 20/10 | 2, 20/13 | 3, 20/16 | 4, 20/20 | 5, 20/25 | 6, 20/32 | 7, 20/40 | 8, 20/50 | 9, 20/63 | 10, 20/80 | 11, 20/100 | 12, 20/125 | 13, 20/160 | 14, 20/200 | 15, 20/250 | 16, 20/320 | 17, 20/400 | 18, CF (Counting Fingers) | 19, HM (Hand Motion) | 20, LP (Light Perception) | 21, NLP (No Light Perception)",,,,,,,,,,,,
bcva_logmar_od,ophtho_index,,calc,"BCVA - LogMAR (OD) [auto-calculated from Snellen]","if([bcva_snellen_od]='1',-0.3,if([bcva_snellen_od]='2',-0.2,if([bcva_snellen_od]='3',-0.1,if([bcva_snellen_od]='4',0.0,if([bcva_snellen_od]='5',0.1,if([bcva_snellen_od]='6',0.2,if([bcva_snellen_od]='7',0.3,if([bcva_snellen_od]='8',0.4,if([bcva_snellen_od]='9',0.5,if([bcva_snellen_od]='10',0.6,if([bcva_snellen_od]='11',0.7,if([bcva_snellen_od]='12',0.8,if([bcva_snellen_od]='13',0.9,if([bcva_snellen_od]='14',1.0,if([bcva_snellen_od]='15',1.1,if([bcva_snellen_od]='16',1.2,if([bcva_snellen_od]='17',1.3,if([bcva_snellen_od]='18',2.0,if([bcva_snellen_od]='19',2.6,if([bcva_snellen_od]='20',2.9,if([bcva_snellen_od]='21',3.0,'')))))))))))))))))))))",,,,,,,,,,,,
iop_bl,ophtho_index,,text,"IOP OD (mmHg)",,,number,0,80,,,,,,,,
lens_status_os,ophtho_index,,dropdown,"Lens status OS","1, Pseudophakic | 2, Clear-phakic | 3, Trace cataract | 4, 1+ Cataract | 5, 2+ Cataract | 6, 3+ Cataract | 7, 4+ Cataract | 8, Aphakic | 9, White",,,,,,,,,,,,
bcva_snellen_os,ophtho_index,,dropdown,"BCVA - Snellen (OS)","1, 20/10 | 2, 20/13 | 3, 20/16 | 4, 20/20 | 5, 20/25 | 6, 20/32 | 7, 20/40 | 8, 20/50 | 9, 20/63 | 10, 20/80 | 11, 20/100 | 12, 20/125 | 13, 20/160 | 14, 20/200 | 15, 20/250 | 16, 20/320 | 17, 20/400 | 18, CF (Counting Fingers) | 19, HM (Hand Motion) | 20, LP (Light Perception) | 21, NLP (No Light Perception)",,,,,,,,,,,,
bcva_logmar_os,ophtho_index,,calc,"BCVA - LogMAR (OS) [auto-calculated from Snellen]","if([bcva_snellen_os]='1',-0.3,if([bcva_snellen_os]='2',-0.2,if([bcva_snellen_os]='3',-0.1,if([bcva_snellen_os]='4',0.0,if([bcva_snellen_os]='5',0.1,if([bcva_snellen_os]='6',0.2,if([bcva_snellen_os]='7',0.3,if([bcva_snellen_os]='8',0.4,if([bcva_snellen_os]='9',0.5,if([bcva_snellen_os]='10',0.6,if([bcva_snellen_os]='11',0.7,if([bcva_snellen_os]='12',0.8,if([bcva_snellen_os]='13',0.9,if([bcva_snellen_os]='14',1.0,if([bcva_snellen_os]='15',1.1,if([bcva_snellen_os]='16',1.2,if([bcva_snellen_os]='17',1.3,if([bcva_snellen_os]='18',2.0,if([bcva_snellen_os]='19',2.6,if([bcva_snellen_os]='20',2.9,if([bcva_snellen_os]='21',3.0,'')))))))))))))))))))))",,,,,,,,,,,,
